821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
237,CHILD NEGLECT (SEE 300 W.I.C.)
903,CONTEMPT OF COURT
813,CHILD ANNOYING (17YRS & UNDER)
666,"BUNCO, ATTEMPT"
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
805,PIMPING
763,STALKING
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
441,THEFT PLAIN - ATTEMPT
122,"RAPE, ATTEMPTED"
443,SHOPLIFTING - ATTEMPT
450,THEFT FROM PERSON - ATTEMPT
520,VEHICLE - ATTEMPT STOLEN
434,FALSE IMPRISONMENT
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
660,COUNTERFEIT
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
352,PICKPOCKET
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
110,CRIMINAL HOMICIDE
652,DOCUMENT WORTHLESS ($200 & UNDER)
933,PROWLER
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
345,DISHONEST EMPLOYEE - GRAND THEFT
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
814,CHILD PORNOGRAPHY
932,PEEPING TOM
622,BATTERY ON A FIREFIGHTER
471,TILL TAP - PETTY ($950 & UNDER)
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
651,DOCUMENT WORTHLESS ($200.01 & OVER)
806,PANDERING
943,CRUELTY TO ANIMALS
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
436,LYNCHING - ATTEMPTED
949,ILLEGAL DUMPING
446,PETTY THEFT - AUTO REPAIR
113,"MANSLAUGHTER, NEGLIGENT"
487,BOAT - STOLEN
438,RECKLESS DRIVING
451,PURSE SNATCHING - ATTEMPT
439,FALSE POLICE REPORT
485,BIKE - ATTEMPTED STOLEN
944,CONSPIRACY
954,CONTRIBUTING
756,WEAPONS POSSESSION/BOMBING
942,BRIBERY
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
347,GRAND THEFT / INSURANCE FRAUD
435,LYNCHING
880,DISRUPT SCHOOL
444,DISHONEST EMPLOYEE - PETTY THEFT
475,"THEFT, COIN MACHINE - ATTEMPT"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
865,"DRUGS, TO A MINOR"
349,GRAND THEFT / AUTO REPAIR
353,DRUNK ROLL
452,"PICKPOCKET, ATTEMPT"
870,CHILD ABANDONMENT
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
924,TELEPHONE PROPERTY - DAMAGE
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
948,BIGAMY
884,FAILURE TO DISPERSE
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
432,BLOCKING DOOR INDUCTION CENTER
882,INCITING A RIOT
