,dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,weapon_used_cd,weapon_desc,cross_street,crm_cd_2,crm_cd_3,crm_cd_4
10,230309420,2023-04-15T00:00:00.000,2022-10-21T00:00:00.000,1200,03,Southwest,0363,2,354,THEFT OF IDENTITY,1822,27,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,4100    SOMERSET                     DR,34.0116,-118.3412,,,,,,
11,231708205,2023-04-15T00:00:00.000,2022-08-25T00:00:00.000,1200,17,Devonshire,1721,2,649,DOCUMENT FORGERY / STOLEN FELONY,0923,60,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,649,22200    GERMAIN                      ST,34.2626,-118.6104,,,,,,
12,232008199,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0915,20,Olympic,2093,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,1900 S  LA SALLE                     AV,34.0397,-118.3017,,,,,,
13,230908197,2023-04-15T00:00:00.000,2023-03-17T00:00:00.000,1800,09,Van Nuys,0938,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,6200    NAGLE                        AV,34.1841,-118.4237,,,,,,
14,231107900,2023-04-15T00:00:00.000,2022-11-28T00:00:00.000,1225,11,Northeast,1129,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,67,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,440,1000    LARKER                       AV,34.1241,-118.1706,,,,,,
15,230507794,2023-04-15T00:00:00.000,2023-01-30T00:00:00.000,0730,05,Harbor,0514,1,310,BURGLARY,0344 0358 1609,32,M,H,221,PUBLIC STORAGE,IC,Invest Cont,310,1200 W  PACIFIC COAST                HY,33.7904,-118.2777,,,,,,
16,231508311,2023-04-15T00:00:00.000,2023-03-29T00:00:00.000,1936,15,N Hollywood,1562,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1609 1300,63,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,740,12200    LANDALE                      ST,34.1522,-118.3989,,,,,,
17,230808848,2023-04-15T00:00:00.000,2022-04-15T00:00:00.000,1425,08,West LA,0832,2,354,THEFT OF IDENTITY,0100,60,M,J,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,11800    GOSHEN                       AV,34.0491,-118.4633,,,,,,
18,231809028,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1230,18,Southeast,1844,2,624,BATTERY - SIMPLE ASSAULT,1202 0603 0444 0913,65,M,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,700 E  113TH                        ST,33.932,-118.2622,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
19,232107916,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1800,21,Topanga,2114,1,761,BRANDISH WEAPON,0601 1822 0334,29,M,H,102,SIDEWALK,IC,Invest Cont,761,7800    NEVADA                       AV,34.2128,-118.6094,102,HAND GUN,,,,
20,230507779,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0210,05,Harbor,0567,2,624,BATTERY - SIMPLE ASSAULT,0416 0603 0361 0913,56,M,H,102,SIDEWALK,IC,Invest Cont,624,2200 S  PACIFIC                      AV,33.7243,-118.288,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
21,231107874,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,1000,11,Northeast,1117,2,624,BATTERY - SIMPLE ASSAULT,1259 0416 0356 0429,16,F,H,721,HIGH SCHOOL,IC,Invest Cont,624,1700    YOSEMITE                     DR,34.1331,-118.2042,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
22,231508316,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1800,15,N Hollywood,1525,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,52,M,H,101,STREET,IC,Invest Cont,331,6000    MORELLA                      AV,34.1794,-118.39,,,,,,
23,230708454,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1900,07,Wilshire,0755,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,5300    PACKARD                      ST,34.0499,-118.352,,,,,,
24,231607298,2023-04-15T00:00:00.000,2023-01-31T00:00:00.000,0920,16,Foothill,1619,2,354,THEFT OF IDENTITY,1822,40,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,11100    TUJUNGA CANYON               BL,34.2702,-118.2971,,,,,,
25,231210234,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1930,12,77th Street,1283,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 0329 1822,46,M,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745,98TH                         ST,33.947,-118.309,,,WESTERN                      AV,,,
26,231210260,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,2330,12,77th Street,1269,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 0344 1822,30,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,331,600 E  84TH                         ST,33.9629,-118.2651,,,,,,
27,231908069,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,1930,19,Mission,1915,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,55,M,O,101,STREET,IC,Invest Cont,331,DYER                         ST,34.3003,-118.448,,,NORRIS                       AV,,,
28,231008004,2023-04-15T00:00:00.000,2023-04-08T00:00:00.000,1850,10,West Valley,1034,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 0311,0,M,W,149,RIVER BED*,IC,Invest Cont,740,LINDLEY                      AV,34.1835,-118.5254,,,VICTORY                      BL,,,
29,231508373,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,0530,15,N Hollywood,1541,1,310,BURGLARY,0352 1609,19,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,5300    BLUEBELL                     AV,34.1667,-118.4105,,,,,,
30,230808281,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1300,08,West LA,0881,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 0344 1420,0,M,O,203,OTHER BUSINESS,IC,Invest Cont,442,11700 W  OLYMPIC                      BL,34.0342,-118.4478,,,,,,
31,230608467,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1645,06,Hollywood,0645,1,210,ROBBERY,0387 2028 0432 0913 0945 0334 1501,31,M,H,203,OTHER BUSINESS,IC,Invest Cont,210,7000    HOLLYWOOD                    BL,34.1015,-118.3417,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,,,,
32,230708476,2023-04-15T00:00:00.000,2023-04-06T00:00:00.000,1715,07,Wilshire,0734,1,350,"THEFT, PERSON",0947 0344 1822 0216,45,F,W,102,SIDEWALK,IC,Invest Cont,350,6200 W  3RD                          ST,34.0708,-118.3563,,,,,,
33,230507780,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0210,05,Harbor,0567,2,624,BATTERY - SIMPLE ASSAULT,0416 0603 0361 0913,30,F,H,102,SIDEWALK,IC,Invest Cont,624,2200 S  PACIFIC                      AV,33.7243,-118.288,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
34,230209067,2023-04-15T00:00:00.000,2023-04-01T00:00:00.000,2100,02,Rampart,0237,2,662,"BUNCO, GRAND THEFT",1900 1300 0914 0701 0800,29,M,H,101,STREET,IC,Invest Cont,662,200 S  UNION                        AV,34.0637,-118.2662,,,,,,
35,230908436,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,1830,09,Van Nuys,0932,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202 2032,78,F,W,410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",IC,Invest Cont,341,6100 N  SEPULVEDA                    BL,34.1807,-118.4662,,,,,,
36,231908071,2023-04-15T00:00:00.000,2023-04-12T00:00:00.000,1525,19,Mission,1998,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,0,M,O,405,CLOTHING STORE,IC,Invest Cont,343,7800    VAN NUYS                     BL,34.2153,-118.4409,,,,,,
37,230110663,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1400,01,Central,0192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1822 0216,54,M,O,108,PARKING LOT,IC,Invest Cont,341,1500 S  GRAND                        AV,34.0364,-118.2659,,,,,,
38,230608516,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,2330,06,Hollywood,0677,2,624,BATTERY - SIMPLE ASSAULT,0446 0400 1822 0416 1501,57,F,H,203,OTHER BUSINESS,IC,Invest Cont,624,5900    SANTA MONICA                 BL,34.0908,-118.3179,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
39,230209051,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0720,02,Rampart,0246,2,888,TRESPASSING,0910 2004 1822,0,M,W,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,IC,Invest Cont,888,600 S  ALVARADO                     ST,34.0595,-118.2749,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
40,231508295,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,1700,15,N Hollywood,1563,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,103,ALLEY,IC,Invest Cont,420,4500    LAUREL CANYON                BL,34.1522,-118.3965,,,,,,
41,230908199,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1930,09,Van Nuys,0939,2,624,BATTERY - SIMPLE ASSAULT,0447 0359 0361,35,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624,6300    COLDWATER CANYON             AV,34.1781,-118.4179,500,UNKNOWN WEAPON/OTHER WEAPON,,,,
42,230708545,2023-04-15T00:00:00.000,2023-04-10T00:00:00.000,0800,07,Wilshire,0734,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,44,M,K,119,"PORCH, RESIDENTIAL",IC,Invest Cont,440,6200 W  3RD                          ST,34.0708,-118.3563,,,,,,
43,231008026,2023-04-15T00:00:00.000,2023-04-08T00:00:00.000,1330,10,West Valley,1025,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,82,F,W,108,PARKING LOT,IC,Invest Cont,440,18300    VANOWEN                      ST,34.1975,-118.5273,,,,,,
44,230309444,2023-04-15T00:00:00.000,2023-03-21T00:00:00.000,1107,03,Southwest,0338,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0325 1822,22,X,X,404,DEPARTMENT STORE,IC,Invest Cont,442,3100 S  HOOVER                       ST,34.0268,-118.2896,,,,,,
45,231607303,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1425,16,Foothill,1682,2,903,CONTEMPT OF COURT,2038,56,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,903,8600    LAUREL CANYON                BL,34.226,-118.3974,,,,,,
46,231408552,2023-04-15T00:00:00.000,2023-04-06T00:00:00.000,1400,14,Pacific,1469,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,6900    KNOWLTON                     PL,33.975,-118.3713,,,,,,
47,230500614,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1200,05,Harbor,0507,2,625,OTHER ASSAULT,0444 0913 1810,48,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,625,1600 W  228TH                        ST,33.819,-118.3063,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
48,231708224,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1700,17,Devonshire,1761,1,310,BURGLARY,0344 1606,0,X,X,213,WAREHOUSE,IC,Invest Cont,310,9600    OWENSMOUTH                   AV,34.2447,-118.602,,,,,,
49,231708278,2023-04-15T00:00:00.000,2023-04-10T00:00:00.000,2030,17,Devonshire,1729,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,402,MARKET,IC,Invest Cont,442,11100    BALBOA                       BL,34.2757,-118.5144,,,,,,
50,231809030,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1230,18,Southeast,1844,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0913 0329,0,X,X,501,SINGLE FAMILY DWELLING,IC,Invest Cont,745,700 E  113TH                        ST,33.932,-118.2622,,,,,,
51,230209489,2023-04-15T00:00:00.000,2023-01-15T00:00:00.000,1301,02,Rampart,0275,2,354,THEFT OF IDENTITY,1822 0100,57,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,900    BEACON                       AV,34.0497,-118.2754,,,,,,
52,231107883,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,2130,11,Northeast,1162,2,860,BATTERY WITH SEXUAL CONTACT,0522 0551 1822,0,M,H,103,ALLEY,IC,Invest Cont,860,1200 N  WESTMORELAND                 AV,34.0935,-118.2878,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
53,230309370,2023-04-15T00:00:00.000,2023-04-08T00:00:00.000,1800,03,Southwest,0376,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0401 0417 0429 0444 0913 1241 1813 1821 2000,42,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,236,3800    DENKER                       AV,34.0174,-118.3045,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
54,230608480,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,2010,06,Hollywood,0644,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,30,F,W,101,STREET,IC,Invest Cont,740,SUNSET,34.098,-118.3507,,,MARTEL,,,
55,230808321,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,1200,08,West LA,0805,2,624,BATTERY - SIMPLE ASSAULT,1300 0444,64,F,W,101,STREET,IC,Invest Cont,624,1200    LINDA FLORA                  DR,34.0919,-118.4652,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
56,230608483,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1145,06,Hollywood,0645,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 1822 0344 0377 1205,66,F,W,102,SIDEWALK,IC,Invest Cont,341,6800    HOLLYWOOD                    BL,34.1016,-118.3387,,,,,,
57,231107909,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1430,11,Northeast,1102,1,210,ROBBERY,1822 0342 0446 0416 0344 0417,16,M,H,102,SIDEWALK,IC,Invest Cont,210,4100    CHEVY CHASE                  DR,34.1334,-118.269,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
58,231607302,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1215,16,Foothill,1654,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0416,25,M,H,203,OTHER BUSINESS,IC,Invest Cont,626,10100    SAN FERNANDO                 RD,34.2537,-118.4083,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
59,230908196,2023-04-15T00:00:00.000,2023-03-30T00:00:00.000,1100,09,Van Nuys,0915,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,7000    VAN NUYS                     BL,34.1976,-118.4443,,,,,,
60,231210218,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1600,12,77th Street,1205,1,210,ROBBERY,0916 0334,29,M,H,101,STREET,IC,Invest Cont,210,NORMANDIE                    AV,33.9978,-118.3002,102,HAND GUN,50TH                         ST,,,
61,232107933,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1913,21,Topanga,2126,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,41,F,B,119,"PORCH, RESIDENTIAL",IC,Invest Cont,440,7700    GAZETTE                      AV,34.2103,-118.5874,,,,,,
62,232008293,2023-04-15T00:00:00.000,2023-04-12T00:00:00.000,2130,20,Olympic,2004,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913 1202,64,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,930,500 N  OXFORD                       AV,34.0799,-118.308,511,VERBAL THREAT,,,,
63,231508353,2023-04-15T00:00:00.000,2023-04-13T00:00:00.000,2200,15,N Hollywood,1591,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344,32,M,B,101,STREET,AA,Adult Arrest,420,3800    MOUND VIEW                   AV,34.1393,-118.3949,,,,,,
64,232008238,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1035,20,Olympic,2015,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0401 1813 1243 0400,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,100 N  NEW HAMPSHIRE                AV,34.0727,-118.2929,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
65,230209107,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1625,02,Rampart,0246,2,888,TRESPASSING,1822 0910 2052 1501,0,X,X,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,IC,Invest Cont,888,600 S  ALVARADO                     ST,34.0595,-118.2749,515,PHYSICAL PRESENCE,,,,
66,231809024,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0300,18,Southeast,1862,1,648,ARSON,0329 1822,53,F,H,102,SIDEWALK,IC,Invest Cont,648,11500 S  SAN PEDRO                    ST,33.9271,-118.276,,,,,,
67,231210201,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0610,12,77th Street,1255,1,761,BRANDISH WEAPON,0334 1822 0216,59,M,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,761,1100 W  74TH                         ST,33.9727,-118.2941,109,SEMI-AUTOMATIC PISTOL,,,,
68,231309227,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0238,13,Newton,1331,1,330,BURGLARY FROM VEHICLE,0344 1307,33,M,H,102,SIDEWALK,IC,Invest Cont,330,2800    MAPLE                        AV,34.0223,-118.2719,,,,,,
69,230507798,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1200,05,Harbor,0522,1,510,VEHICLE - STOLEN,,0,,,103,ALLEY,IC,Invest Cont,510,700    MCDONALD                     AV,33.778,-118.2715,,,,,,
70,230808324,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1400,08,West LA,0857,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0361,81,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,1500 S  BEVERLY                      DR,34.0524,-118.3954,,,,,,
71,230309396,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1656,03,Southwest,0311,2,624,BATTERY - SIMPLE ASSAULT,0913 0342 0444 0448,36,M,O,203,OTHER BUSINESS,IC,Invest Cont,624,3300    LA CIENEGA                   BL,34.0282,-118.372,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
72,230309413,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1400,03,Southwest,0358,1,480,BIKE - STOLEN,0344 1251 1822 2032,19,M,A,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,IC,Invest Cont,480,800    BLOOM WALK,34.0187,-118.2862,,,,,,
73,230209083,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1400,02,Rampart,0218,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0400,38,F,H,101,STREET,IC,Invest Cont,626,ECHO PARK,34.0748,-118.2586,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",PARK,,,
74,231210727,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1130,12,77th Street,1211,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 0342 1822 1202,65,F,B,102,SIDEWALK,IC,Invest Cont,420,54TH                         ST,33.9931,-118.3307,,,CRENSHAW                     BL,,,
75,230309437,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1750,03,Southwest,0399,2,624,BATTERY - SIMPLE ASSAULT,0342 0416 0446 1309 1822,19,M,H,222,LAUNDROMAT,IC,Invest Cont,624,4300 S  FIGUEROA                     ST,34.0054,-118.2827,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
76,231210199,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1250,12,77th Street,1268,2,662,"BUNCO, GRAND THEFT",0701 0800 1402 1309 1822,19,M,H,102,SIDEWALK,IC,Invest Cont,662,8400    WALL                         ST,33.9628,-118.2717,,,,,,
77,230110658,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1000,01,Central,0138,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,2ND                          ST,34.0491,-118.2414,,,SAN PEDRO                    ST,,,
78,231508360,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0900,15,N Hollywood,1588,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 2004 0421 0400,35,F,O,101,STREET,IC,Invest Cont,930,3200    CRAIG                        DR,34.1352,-118.3423,511,VERBAL THREAT,,,,
79,230808276,2023-04-15T00:00:00.000,2023-04-14T00:00:00.000,1900,08,West LA,0826,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0329 0344,56,M,W,108,PARKING LOT,IC,Invest Cont,331,11900    SAN VICENTE                  BL,34.0523,-118.4729,,,,,,
80,231508344,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,0900,15,N Hollywood,1531,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1300 1822 1402,39,F,H,101,STREET,IC,Invest Cont,410,12800    CHANDLER                     BL,34.1687,-118.4105,,,,998,,
81,230608481,2023-04-15T00:00:00.000,2023-04-11T00:00:00.000,2300,06,Hollywood,0669,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0329 0385,40,F,O,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,331,5300    VIRGINIA                     AV,34.092,-118.3046,,,,,,
82,232008215,2023-04-15T00:00:00.000,2023-04-12T00:00:00.000,0900,20,Olympic,2038,1,310,BURGLARY,0344 1606 1822 1202 0352,66,M,A,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,3000    LEEWARD                      AV,34.0587,-118.2891,,,,,,
83,230110689,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1230,01,Central,0195,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,14TH                         ST,34.0336,-118.258,,,MAPLE                        ST,,,
84,231708279,2023-04-15T00:00:00.000,2023-04-04T00:00:00.000,1353,17,Devonshire,1729,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344,0,X,X,402,MARKET,IC,Invest Cont,442,11100    BALBOA                       BL,34.2757,-118.5144,,,,,,
85,231508310,2023-04-15T00:00:00.000,2023-04-08T00:00:00.000,0900,15,N Hollywood,1512,1,330,BURGLARY FROM VEHICLE,0344 1822 1300,35,F,H,108,PARKING LOT,IC,Invest Cont,330,6900    COLDWATER CANYON             AV,34.1958,-118.4138,,,,,,
86,230507817,2023-04-15T00:00:00.000,2023-04-10T00:00:00.000,2030,05,Harbor,0585,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300,29,M,W,101,STREET,IC,Invest Cont,331,1000 W  20TH                         ST,33.7261,-118.299,,,,,,
